input,reference,decoded1,decoded2,decoded3
kapdi,कापड़ी,कपड़ी,काड़ी,कपद़ी
kamraj,कामराज,कमराज,काराज,कम्ाज
kamottejana,कामोत्तेजना,कमोतजेजा,कमोतेेजा,काोतजेजा
kamottejna,कामोत्तेजना,कमोतजेजा,कमोतजेजन,कमोतेेजा
kailana,कायलाना,कैलना,कैलाा,केलना
kaylana,कायलाना,कायलना,कययलना,कैयलना
carfi,कार्की,कार्फी,करर्फी,कारफफी
karki,कार्की,करकी,काकी,कर्ी
kartik,कार्तिक,कार्तिक,कार्टिक,करर्तिक
karyakartaon,कार्यकर्ताओं,कार्यकर्ताओं,करर्यकर्ताओं,कार्यका्ताओं
karykartaaon,कार्यकर्ताओं,कार्यकर्ताओं,करर्यकर्ताओं,कार्यका्ताओं
karykartaon,कार्यकर्ताओं,कार्यकर्ताओं,करर्यकर्ताओं,कार्यका्ताओं
karyabhar,कार्यभार,कार्याभार,कार्यभभार,कार्याभरर
karybhar,कार्यभार,कार्यभर,कार्यभा,करर्यभर
karyarat,कार्यरत,कार्यारत,करर्यारत,कार्यारा
karyrat,कार्यरत,कर्यरात,कर्यरतत,का्यरात
kaalpi,कालपी,कालपी,काल्ी,कालती
kalapi,कालपी,कलापी,कलापि,काापी
kalpi,कालपी,कल्पी,कलपपी,का्पी
kalika,कालिका,कलिका,कािका,कलीका
kalighat,कालीघाट,कलिघाट,कािघाट,कलिघटट
coldvel,काल्डवेल,कॉल्ड्वल,कॉल्डववल,क्ल्ड्वल
kaldvel,काल्डवेल,काल्डवेल,काल्डवैल,कलल्डवेल
kaldwell,काल्डवेल,काल्डवेल,क्ल्डवेल,काल्डवलल
kaav,काव,काव,काव़,क़व
kav,काव,काव,कवव,कॉव
kaasht,काश्त,काश्त,काष्त,काश्ट
kasht,काश्त,काष्ट,कशष्ट,कषष्ट
kasim,कासिम,कसीम,कसिम,काीम
qasim,कासिम,कसीम,कसिम,काीम
kasimabad,कासिमाबाद,कसिमाबाद,कसीमाबाद,कसिमाबडद
kiya,किया,किया,कीया,किय
kiliyan,किलियन,किलियां,कीलियां,किलियाँ
killat,किल्लत,किल्लत,किल्ला,किल्ले
killi,किल्ली,किल्ली,किलीली,किललली
kisaani,किसानी,किसानी,कससानी,कीसानी
kisani,किसानी,किसनी,किसाी,कससनी
kisanon,किसानों,किसनों,किसाों,कससनों
keede,कीड़े,कीड़े,कीद़े,कीडेे
kide,कीड़े,काइड,कीइड,किइड
keynote,कीनोट,केनोट,कीनोट,केयोट
kinote,कीनोट,किनोट,कीनोट,किनोटे
kiratpur,कीरतपुर,किरातपुर,किरततपुर,कीरातपुर
kundal,कुंडल,कुंडल,कुंदल,कुंडा
kundaliya,कुंडलियाँ,कुंदलीय,कुंडलीय,कुंदलिय
kundaliyan,कुंडलियाँ,कुंडलियां,कुंदलियां,कुंडाियां
kutta,कुत्ता,कुट्टा,कूट्टा,कुटतटा
kuposhit,कुपोषित,कुपोषित,कूपोषित,कुपोशित
kumau,कुमाऊ,कुमाऊ,कुमौऊ,कुमाओ
kumavat,कुमावत,कुमावत,कुमावट,कूमावत
kumawat,कुमावत,कुमावत,कुमावट,कूमावत
kural,कुराल,कुरल,कुरा,कूरल
kurmi,कुर्मी,कुर्मी,कुरममी,कूर्मी
kursiyon,कुर्सियों,कुर्सियों,करर्सियों,कूर्सियों
kush,कुश,कुश,कूश,कुष
kushaan,कुषाण,कुशान,कूशान,कुषान
kushan,कुषाण,कुशन,कुशा,कूशन
kusumalataa,कुसुमलता,कुसुमलता,कुसुमाता,कुसूमलता
kusumalta,कुसुमलता,कुसुमलता,कुसुमाता,कुसूमलता
kusumlata,कुसुमलता,कुसूमलाता,कुसुमलाता,कुसूमलतता
koot,कूट,कूट,कूत,कुट
kut,कूट,कूट,कुट,कूत
kritika,कृतिका,कृतिका,कृतीका,कृटिका
kpo,केपीओ,कीपीओ,कीपेओ,केपीओ
canterbari,कैंटरबरी,कैंटरबारी,कैंटरबाडी,कैंतरबारी
canterbury,कैंटरबरी,कैंटरब्यू,कैंटरबीयू,कैंटरब्रू
candidate,कैंडिडेट,कैंडीडाट,कैंडिडाट,कैंडीडेट
katrina,कैटरीना,कतरीना,कटरीना,कारीना
caitlyn,कैटलिन,कैटलिन,कैटलीन,कैतलिन
cateline,कैटलिन,कैटलिन,कैटलान,कैटलीन
catlin,कैटलिन,कैटलिन,केटलिन,कैटलीन
cadmium,कैडमियम,कैडमियम,कैड्ियम,केडमियम
catholic,कैथोलिक,कैथलिक,कैथोिक,कैथलीक
catholicon,कैथोलिकों,कैथलिकों,कैथलिकनं,कैथलीकों
kaetholikon,कैथोलिकों,कैथलिकों,कैफलिकों,कैटलिकों
capacitor,कैपेसिटर,कैपसीटर,कैपसिटर,केपसीटर
carat,कैरेट,कैराट,काराट,करराट
cavity,कैविटी,कैविटी,केविटी,काविटी
cavalry,कैवेलरी,कवाल्री,कााल्री,कैाल्री
kaivelari,कैवेलरी,कैवेलारी,कावेलारी,कैवेलररी
complex,कॉम्प्लेक्स,कंप्लेक्स,कॉप्लेक्स,कमप्लेक्स
kocchi,कोच्चि,कोची,कोच्,कोछी
kochi,कोच्चि,कोची,कोचि,कोछी
corridor,कोरिडोर,कॉरिडोर,कॉरिडरर,कररिडोर
corolla,कोरोला,कोरोला,कोरलला,कोरॉला
korola,कोरोला,कोरोला,कोरोल,कोडोला
caolan,कोलन,कौलन,कोलन,कॉलन
colan,कोलन,कोलन,कललन,कॉलन
colon,कोलन,कॉलन,कोलन,कललन
calling,कोलिंग,कॉलिंग,कैलिंग,कललिंग
koling,कोलिंग,कोलिंग,कॉलिंग,कोरिंग
colorado,कोलोराडो,कलरेडो,कलरडडो,कॉरेडो
kolorado,कोलोराडो,कोलोरेडो,कोलररेडो,कोलोरॉडो
kaushal,कौशल,कौशल,कौशा,कौषल
kaushalata,कौशलता,कौशलता,कौशाता,कौषलता
kaushalta,कौशलता,कौशलता,कौशाता,कौषलता
kaushambi,कौशाम्बी,कौशंबी,कौशमबी,कौषंबी
cute,क्यूट,कूटे,कूट,कूते
quete,क्यूट,क्वेट,क्वीट,क्वैट
cube,क्यूब,क्यूब,कबयूब,कूयूब
cubeck,क्यूबेक,क्यूबेक,क्यूबिक,क्यूबैक
quebec,क्यूबेक,क्वेब्स,क्वबब्स,क्वेबेस
cubes,क्यूब्स,क्यूब्स,कबयूब्स,क्वूब्स
krantiyon,क्रांतियों,क्रांटियों,क्रांतियों,क्रंंटियों
cric,क्रिक,क्रिक,क्रीक,क्राक
crick,क्रिक,क्रिक,क्राक,क्रीक
cricket,क्रिकेट,क्रिकेट,क्राकेट,क्रिकटट
cricketer,क्रिकेटर,क्रिकेटर,क्रिकटटर,कररिकेटर
cricketing,क्रिकेटिंग,क्रिकेटिंग,क्रिकटटिंग,क्रीकेटिंग
kriyayog,क्रियायोग,क्रियायोग,क्रीयायोग,कृरियायोग
christian,क्रिश्चयन,क्रिस्टियन,क्रिस्टिया,क्रिस्तियन
kruger,क्रूगर,क्रूगर,क्रगगर,क्रुगर
craig,क्रेग,क्रैग,क्रेग,क्राग
creg,क्रेग,क्रेग,क्रैग,क्रेज
cradle,क्रैडल,क्रेडल,क्रैडल,कररेडल
chrom,क्रोम,क्रोम,च्रोम,क्रॉम
chrome,क्रोम,क्रोम,च्रोम,क्रॉम
client,क्लांइट,क्लाइंट,क्लेइंट,क्लायंट
clock,क्लाक,क्लॉक,क्लोक,स्लॉक
clasen,क्लासें,क्लेसेन,क्लेसनन,क्लासेन
classen,क्लासें,क्लासन,क्लेसन,क्लैसन
classon,क्लासों,क्लासन,क्लासो,क्लॉसन
clay,क्ले,क्ले,क्ला,क्लेय
claris,क्लेरिस,क्लारिस,क्लायिस,क्लेरिस
cleris,क्लेरिस,क्लेरिस,क्लररिस,क्लेरिय
clerys,क्लेरिस,क्लेरिस,क्लररिस,क्लेर्स
quantico,क्वांटिको,क्वांटीको,क्वांटिको,क्वैंटीको
queens,क्वींस,क्वींस,क्वीनस,क्विंस
kshitij,क्षितिज,क्षितीज,क्षितिज,क्षीतीज
shitij,क्षितिज,शितीज,शितिज,शीतीज
kshin,क्षीण,क्षिण,क्षिन,क्षीण
shin,क्षीण,शीन,शिन,शान
kshetron,क्षेत्रों,क्षेत्रों,क्षेे्रों,क्षतत्रों
shetron,क्षेत्रों,शेत्रों,श्त्रों,केत्रों
khand,खंडा,खंड,खाड,खंद
khanda,खंडा,खंडा,खाडा,खनडा
khachakhach,खचाखच,खचाखाच,खच्खाच,खााखाच
khajarana,खजराना,खजराना,खजरनना,खाराना
khajraana,खजराना,खजराना,खाराना,ख़राना
khajrana,खजराना,खजराना,खाराना,खजरनना
khatakati,खटकती,खटकती,खतकती,खटाती
khatakti,खटकती,खटकती,खतकती,खाकती
kihatkati,खटकती,किहटकाती,किहटकतती,कहहटकाती
khattapan,खट्टापन,खट्टापन,खत्टापन,खट्ठापन
khat,खत,खात,खतत,खटत
khani,खनि,खानी,खननी,खाणी
khanik,खनिक,खानिक,खाणिक,खननिक
khanikarm,खनिकर्म,खानीकर्म,खणनीकर्म,खाणीकर्म
khanikarma,खनिकर्म,खानीकर्मा,खानीकर्म,खननीकर्मा
khanikarmi,खनिकर्म,खानीकर्मी,खाणीकर्मी,खननीकर्मी
khapat,खपत,खपट,खपा,खपत
khariya,खरिया,खरीया,खरिया,खरीय
khalnayak,खलनायक,खलनायक,खानायक,खलनययक
khaaskar,ख़ासकर,खासकर,खास्र,खासका
khaskar,ख़ासकर,खासकर,खससकर,खासका
khaastaur,ख़ासतौर,खासतौर,खास्ौर,खासतोर
khastaur,ख़ासतौर,खासतौर,खास्ौर,खससतौर
khaibar,ख़ैबर,खैबर,खैबा,खाबर
khyber,ख़ैबर,खेबर,ख्बर,खाबर
khaein,खाएं,खाइं,खाएं,खाइँ
khaen,खाएं,खाएं,खांं,खाइं
khayen,खाएं,खायें,खाएें,खाये
khaate,खाते,खाते,खाटे,ख़ते
khaatey,खाते,खाते,खाटे,खात्
khate,खाते,खाते,खतते,खाटे
khal,खाल,खल,खा,ख़
khinchakar,खिंचकर,खींचाकर,खिंचाकर,खींचककर
khinchkar,खिंचकर,खींचकर,खिंचकर,खीनचकर
khilana,खिलाना,खिलना,खिलाा,खीलना
khinchkar,खींचकर,खींचकर,खिंचकर,खीनचकर
khuda,खुदा,खुड़ा,खुद़ा,खूड़ा
khudai,खुदाई,खुदाई,खुडाई,खूदाई
khurapka,खुरपका,खुरापका,खुरपपका,खुराप्ा
khurpaka,खुरपका,खुरपका,खुरपाा,खुर्का
khurasan,खुरासान,खुरासन,खुरससन,खूरासन
khushiyan,खुशियां,खुशियां,खुशियाँ,खूशियां
khene,खेने,खेने,खेंे,खेणे
khaini,खैनी,खैनी,खानी,खैंी
khairati,खैराती,खैरती,खैराी,खेरती
khoikhoi,खोईखोई,खोइखो,खोइखोई,खोंखो
khoya,खोया,खोया,खोआा,खोइा
gangrel,गंगरेल,गैंग्रेल,गैंग्रलल,गंंग्रेल
gangaajal,गंगाजल,गंगाजल,गंगाजा,गागाजल
gangajal,गंगाजल,गंगाजल,गंगाजा,गंगजजल
gandaki,गंडकी,गंदाकी,गंडाकी,गंदककी
gandki,गंडकी,गंडकी,गंदकी,गैडकी
gandh,गंध,गंध,गाध,गंद
gandha,गंध,गंधा,गाधा,गणधा
gae,गए,गाए,गाई,गाज
gaye,गए,गाये,गाय,गाएे
gajara,गजरा,गजरा,गजाा,गज़ा
gajra,गजरा,गजरा,गज़ा,गारा
gadkar,गडकर,गड़कर,गढ़कर,गा़कर
ganapati,गणपति,गणपती,गणपति,गणपटी
ganpati,गणपति,गणपती,गणपटी,गंपती
gatisheel,गतिशील,गतिशील,गटिशील,गतीशील
gatishil,गतिशील,गतिशील,गतिशिल,गटिशील
gatishilata,गतिशीलता,गतिशीलता,गतिशिलता,गटिशीलता
gadadhar,गदाधर,गदाधर,गदाधा,गााधर
gammat,गम्मत,गम्मत,गमममत,गं्मत
gaya,गया,गाया,गयया,गाजा
garibi,गरीबी,गरीबी,गरिबी,गाीबी
garjana,गर्जना,गर्जना,गरजजना,गर्जाा
galgand,गलगंड,गलगंद,गागंद,गलगंड
gahmagahmi,गहमागहमी,गहमागही,गहमगगही,गहमागहम
gemhagehmi,गहमागहमी,गेमहागही,गेमहगगही,गिमहागही
ganguly,गांगुली,गंगुली,गंगुल्,गंगुला
gaanth,गांठ,गांथ,गांठ,गांथा
ganth,गांठ,गंथ,गंठ,गाथ
gaanthe,गांठे,गांठे,गांथे,गांटे
ganthe,गांठे,गांथे,गंंथे,गांठे
ganthen,गांठें,गंथें,गाथें,गणथें
ganthon,गांठों,गंथों,गाथों,गणथों
gaen,गाएं,गाएं,गाजं,गाएँ
gayen,गाएं,गायें,गाएें,गायनं
gazi,गाज़ी,गाई,गैई,गाज
gajipur,गाजीपुर,गजीपुर,गाीपुर,ग्ीपुर
gazipur,गाजीपुर,गायपुर,गैयपुर,गाय़ुर
gayatri,गायत्री,गायत्री,गाया्री,गायतररी
gayitri,गायत्री,गायित्री,गायिट्री,गैयित्री
gaytri,गायत्री,गायत्री,गायतररी,गायत्रि
gidgidate,गिड़गिड़ाते,गिज्गीडाट,गिज्गीडेट,गिजगगीडाट
ginate,गिनते,गिनेट,गिनाट,गिनतट
ginte,गिनते,गिंटे,गींटे,गिनटे
girkar,गिरकर,गिरकर,गिरका,गीरकर
girijaghar,गिरजाघर,गिरिजाघर,गिरीजाघर,गिरिजागर
girjaghar,गिरजाघर,गिरजाघर,गिर्ाघर,गिरजागर
girijagharon,गिरजाघरों,गिरिजाघरों,गिरिजागरों,गिरीजाघरों
girjagharon,गिरजाघरों,गिर्जाघरों,गिर्जागरों,गिरजजाघरों
girati,गिरती,गिराती,गिरतती,गीराती
girti,गिरती,गिर्ती,गिरतती,गिर्ति
girish,गिरीश,गिरिश,गिरीश,गीरिश
guan,गुआन,गुआन,गुजन,गुएन
gujar,गुजार,गुजर,गुजा,गूजर
gujarata,गुजारता,गुजरता,गुजाता,गुजराा
gujarta,गुजारता,गुजरता,गुजर्ा,गुजाता
gujarate,गुजारते,गुजरते,गुजराे,गुजाते
gujarte,गुजारते,गुजरते,गुजर्े,गुजाते
gujarana,गुजारना,गुजराना,गुजरनना,गुजााना
gujarna,गुजारना,गुजरना,गुजर्ा,गुजाना
gujara,गुजारा,गुजरा,गुजाा,गुजडा
gujare,गुजारे,गुजरे,गुजाे,गूजरे
gutta,गुट्टा,गुट्टा,गूट्टा,गुटतटा
gthalidar,गुठलीदार,गतलिदार,गठलिदार,ग्लिदार
guthalidar,गुठलीदार,गुठलीदार,गुतलीदार,गुथलीदार
gudna,गुदना,गुड़ना,गुद़ना,गुड़ाा
gumaan,गुमान,गुमान,गूमान,ग्मान
guman,गुमान,गुमान,गुमनन,ग्मान
gulshan,गुलशन,गुलशान,गुलशणन,गुलशनन
gunga,गूंगा,गुंगा,गुनगा,गूंगा
grihnagar,गृहनगर,गृहनगर,गृहनार,गृहनगा
gruhnagar,गृहनगर,गृहनगर,गृहणगर,गृहनार
galaxion,गैलेक्सियों,गैलक्सियों,गैलक्सियनं,गैले्सियों
galaxiyon,गैलेक्सियों,गैलक्सियों,गालक्सियों,गैलकिसियों
galaxyon,गैलेक्सियों,गलक्यों,गले्यों,गलै्यों
gochar,गोचर,गोचार,गोचरर,गोचहर
gouchar,गोचर,गोचार,गौचार,गुचार
godara,गोदारा,गोड़ारा,गोडाारा,गोद़ारा
gopichand,गोपीचंद,गोपीचंद,गोपिचंद,गोपीशंद
gomake,गोमके,गोमेक,गोमकक,गोमाक
gomke,गोमके,गोमके,गोम्े,गॉमके
goel,गोयल,गोएल,गोलल,गोजल
goyal,गोयल,गोयल,गोवल,गोइल
gosvaami,गोस्वामी,गोस्वामी,गोसववामी,गोस्वामि
gosvami,गोस्वामी,गोस्वामी,गोसववामी,गोस्ववमी
goswami,गोस्वामी,गोस्वामी,गोसववामी,गोस्ववमी
gaumukh,गौमुख,गौमुख,गौमूख,गोमुख
gomukh,गौमुख,गोमुख,गोमूख,गौमुख
gaumutr,गौमूत्र,गौमूत्र,गौमुत्र,गौमूत्त
gaumutra,गौमूत्र,गौमूत्र,गौमूत्रा,गौमुत्र
gowmutra,गौमूत्र,गोवमुत्रा,गोवमुत्र,गोव्ुत्रा
granthiyaan,ग्रंथियां,ग्रांथियां,ग्रेंथियां,ग्रांतियां
granthiyan,ग्रंथियां,ग्रांथियां,ग्रेंथियां,ग्रैंथियां
grandhiyon,ग्रंथियों,ग्रंधियों,ग्रेधियों,ग्राधियों
granthiyon,ग्रंथियों,ग्रांथियों,ग्रेंथियों,ग्रैंथियों
greest,ग्रीस्ट,ग्रीस्ट,ग्रिस्ट,ग्रीस्त
greist,ग्रीस्ट,ग्रेस्ट,ग्रीस्ट,ग्रिस्ट
grist,ग्रीस्ट,ग्रिस्ट,गृरिस्ट,ग्रिस्ट्
greg,ग्रेग,ग्रेग,ग्रैग,ग्रेज
granite,ग्रेनाइट,ग्रेनिट,ग्रानिट,ग्रेनीट
grenite,ग्रेनाइट,ग्रेनिट,ग्रेनीट,ग्रेनाट
grandson,ग्रैंडसन,ग्रैंडसन,ग्रंंडसन,ग्रेंडसन
gross,ग्रॉस,ग्रॉस,ग्रोस,ग्रास
ghataatop,घटाटोप,घटातोप,घटाटोप,घतातोप
ghatatop,घटाटोप,घटटोप,घटाोप,घटोोप
ghataayaa,घटाया,घटाया,घताया,घााया
ghataya,घटाया,घटाया,घताया,घट्या
ghanakar,घनाकार,घनाकर,घनककर,घणाकर
ghabrahat,घबराहट,घबरहत,घबरहा,घब्हत
ghasi,घासी,घासी,घससी,गासी
ghisai,घिसाई,घिसाई,घीसाई,घिसाइ
ghisi,घिसी,घिसी,घीसी,घिशी
ghise,घिसे,घीसे,घिसे,घीजे
ghumakkadi,घुमक्कड़ी,घुमक्कड़ी,घुमक्का़ी,घूमक्कड़ी
ghumakkdi,घुमक्कड़ी,घुमक्कड़ी,घूमक्कड़ी,घुमक्कद़ी
ghumakkadon,घुमक्कड़ों,घुमक्कड़ों,घूमक्कड़ों,घुमक्का़ों
ghumakkaron,घुमक्कड़ों,घुमक्करों,घुमक्काों,घूमक्करों
ghumakkdon,घुमक्कड़ों,घुमक्कड़ों,घूमक्कड़ों,घुमकेकड़ों
ghummakkadon,घुमक्कड़ों,घूम्मक्कादों,घूम्मकाकादों,घूम्मक्कददों
ghumaan,घुमाण,घुमान,घूमान,घुमाण
ghuman,घुमाण,घुमान,घूमान,घुमनन
ghoonsa,घूंसा,घूंसा,घुंसा,घूनसा
ghunsa,घूंसा,घुंसा,घुणसा,घूंसा
ghongha,घोंघा,घोंघा,घोंघ,घौंघा
ghontane,घोंटने,घोंटने,घोंटाे,घौंटने
ghontne,घोंटने,घोंटने,घोटटने,घौंटने
ghot,घोट,घोट,घोत,घॉट
ghodi,घोड़ी,घोड़ी,घोद़ी,घोडीी
ghost,घोस्ट,घोस्त,घोस्ट,घोष्त
changul,चंगुल,चांगुल,चंंगुल,चेंगुल
chand,चंद,चांद,चंंद,चैंद
chandan,चंदन,चंदन,चंदा,चादन
chandana,चंदन,चंदना,चादना,चंदाा
chandu,चंदू,चंदू,चंडू,चंदु
chandon,चंदों,चांडों,चंंडों,चांदों
chandrabali,चंद्रबली,चंद्रबली,चंद्रबाी,चाद्रबली
chandramaon,चंद्रमाओं,चंद्रामाओं,चंद्रममाओं,चाद्रामाओं
chakatte,चकत्ते,चकट्टे,चकत्टे,चकट्ते
chaktte,चकत्ते,चकत्ते,चक््ते,चकट्ते
chakkar,चक्कर,चक्कर,चक्का,चकाकर
chkkar,चक्कर,चक्कर,चकककर,कक्कर
chakshu,चक्षु,चक्शू,चक्षू,चक्शु
chatagaon,चटगांव,चटगांव,चतगांव,चटगाओव
chatgaon,चटगांव,चटगांव,चतगांव,चटगाओव
chadhane,चढ़ने,चढ़ाने,चढ़नने,छढ़ाने
chadhne,चढ़ने,चढ़ने,चढ़ाे,छढ़ने
chaturdik,चतुर्दिक,चात्युर्दिक,चतत्युर्दिक,चातुयुर्दिक
chatunshkoniy,चतुष्कोणीय,चतुंशकोनीय,चत्ंशकोनीय,चाुंशकोनीय
chatushkoniy,चतुष्कोणीय,चतुशकोनीय,चतुशकोणीय,चाुशकोनीय
chatushkoniya,चतुष्कोणीय,चतुशकोनीय,चतुशकोनिय,चतुशकोणीय
channa,चन्ना,चान्ना,चनन्ना,चां्ना
chabate,चबाते,चबाते,चबतते,चााते
chabutare,चबूतरे,चबूतरे,चबूताे,चबूटरे
chabutre,चबूतरे,चबूत्रे,चबूतररे,चाूत्रे
chamakna,चमकना,चमकना,चमक्ा,चाकना
chamkana,चमकना,चमकाना,चमकनना,चाकाना
charas,चरस,चरस,चरा,चास
charit,चरित,चरित,चरिट,चरीत
charcha,चर्चा,चर्चा,चर्च,चरचचा
churcha,चर्चा,चूर्चा,चरर्चा,चुर्चा
charchaon,चर्चाओं,चर्चाओं,चा्चाओं,चरचचाओं
chalenge,चलेंगे,चलेंगे,चाेंगे,चैेंगे
chlenge,चलेंगे,क्लेंग,क्लेंगे,च्लेंग
chahunaur,चहुंओर,चाहूनौर,चाहुनौर,चहहूनौर
chahunor,चहुंओर,चाहूनोर,चाहुनोर,चाहूनौर
chanval,चांवल,चंवाल,चावाल,चंवलल
chanwal,चांवल,चंवाल,चावाल,चंवलल
chachaji,चाचाजी,चचाजी,चााजी,चछाजी
chadar,चादर,चादर,चददर,चडदर
chadaron,चादरों,चदरों,चदाों,चडरों
chadron,चादरों,चद्रों,चा्रों,चे्रों
chan,चान,चान,चनन,चैन
chanan,चानन,चानन,चननन,चाना
chaplusi,चापलूसी,चपलूसी,चपलुसी,चपलससी
chayal,चायल,चयाल,चयलल,चााल
char,चार,चार,चरर,चैर
charon,चारों,चरों,चाों,चेों
charge,चार्ज,चार्ज,चरर्ज,चैर्ज
chart,चार्ट,चार्ट,चरर्ट,चॉर्ट
charton,चार्टों,चार्टन,चरर्टन,चैर्टन
charts,चार्ट्स,चार्ट्स,चैर्ट्स,चरर्ट्स
chaalit,चालित,चालित,चालीत,चालिट
chalit,चालित,चलित,चलीत,चलिट
chikitsak,चिकित्सक,चिकित्सक,चिकित्सा,चीकित्सक
chikitsakon,चिकित्सकों,चिकित्सकों,चिकित्साों,चीकित्सकों
chikhali,चिखली,चिखली,चिखाी,चीखली
chiththi,चिट्ठी,चित्ती,चित्ति,चित्थी
chitthi,चिट्ठी,चित्ती,चिट्ती,चित्थी
chithhi,चिठ्ठी,चित्ती,चित्ही,चित्ति
chiththi,चिठ्ठी,चित्ती,चित्ति,चित्थी
chitthi,चिठ्ठी,चित्ती,चिट्ती,चित्थी
chidchidapan,चिडचिडापन,चिड़चिड़ापन,चिड़चीड़ापन,चिड़चिद़ापन
chidchidapan,चिड़चिड़ापन,चिड़चिड़ापन,चिड़चीड़ापन,चिड़चिद़ापन
chidhate,चिढ़ते,चिढ़ते,चिध़ते,चिड़ते
chidhte,चिढ़ते,चिढ़ते,चीढ़ते,चिध़ते
chithrkar,चित्रकार,चित्रकर,चित्रका,छित्रकर
chitrkar,चित्रकार,चित्रकर,चित्रका,छित्रकर
chipakane,चिपकने,चिपकाने,चिपकनने,छिपकाने
chipakne,चिपकने,चिपकने,छिपकने,चीपकने
chipkane,चिपकने,चिपकाने,चिपकनने,छिपकाने
chimati,चिमटी,चिमटी,चिमती,चीमटी
chimti,चिमटी,चिमटी,चिमती,चिंटी
chillane,चिल्लाने,चिल्लाने,चिल्लेने,चिलालाने
chee,ची,ची,छी,चि
chi,ची,ची,चि,छी
chuka,चुका,चुका,चूका,छुका
chune,चुने,चुने,चूने,छुने
chunar,चूनर,चुनार,चुनरर,छुनार
changed,चेंज्ड,चेंगेड,चैंगेड,चांगेड
chetti,चेट्टी,चेट्टी,चेत्टी,चेटतटी
chennai,चेन्नई,चेनाई,चेंाई,चेनईई
chero,चेरो,चेरो,चेरों,चैरो
chest,चेस्ट,चेस्ट,चेस्त,चैस्ट
championship,चैंपियनशिप,चंपियोशिप,चंपियंशिप,चंपियाशिप
chor,चोर,चोर,चॉर,चौर
choro,चोरों,चोरो,चोरों,चॉरो
choron,चोरों,चोरों,चोरोन,चौरों
chauk,चौक,चौक,छौक,चौक़
chowk,चौक,चोव़,चोव,चोय़
chauka,चौका,चौका,छौका,चौक
chuka,चौका,चुका,चूका,छुका
chaukiyan,चौकियां,चौकियां,चौकियाँ,छौकियां
chauki,चौकी,चौकी,छौकी,चौसी
chaukhate,चौखटे,चौखते,चौखाे,चौकते
chauguni,चौगुनी,चौगुनी,चौगुणी,चौगूनी
chauda,चौड़ा,चौड़ा,चौद़ा,चौडाा
chaudah,चौड़ा,चौदह,चौदा,चौडह
chaudahavan,चौदहवां,चौदहवां,चौदहवान,चौदावां
chaudhavan,चौदहवां,चौदधाव,चौद्ाव,चौदधान
chaudhawan,चौदहवां,चौद्धवान,चौदधधवान,चौदहधवान
chaupati,चौपाटी,चौपती,चौपति,छौपती
chupaty,चौपाटी,चुपत्य,चुपतीय,चुपट्य
chaupal,चौपाल,चौपाल,चौपलल,चापाल
chaurai,चौरई,चौराई,चौराय,चौरेई
chausinga,चौसिंगा,चौसिंगा,चौसिनगा,चौसिंग
chausingha,चौसिंगा,चौसिंहा,चौसिंघा,चौसिंह
chhagan,छगन,छगान,छगनन,छग्न
chhabi,छबि,छाबी,छबबी,छाबि
chhalla,छल्ला,छल्ला,छललला,छल्ल
chhallaa,छल्ला,छल्ला,छललला,चल्ला
chhaviyaan,छवियाँ,छावियां,छववियां,छावियाँ
chhaviyan,छवियाँ,छावियां,छववियां,छावियाँ
chhavi,छवी,छावी,छववी,छावि
cheh,छह,चेह,चहह,छेह
chhah,छह,छाह,छहह,छाल
chehon,छहों,चेहों,छेहों,चहहों
chhahon,छहों,छाहों,छहहों,छाहें
chhai,छाई,छाई,छाय,छाइ
chhagla,छागला,छगला,छग्ा,छाला
chhajan,छाजन,छजन,छान,छजा
chhaati,छाती,छाती,छाटी,छाति
chhati,छाती,छाती,छतती,छटती
chhaapemaar,छापेमार,छापेमार,छापममार,छापीमार
chhapemar,छापेमार,छपेमार,छाेमार,छप्मार
chheenk,छींक,छींक,छिंक,छीनक
chhink,छींक,छिंक,छींक,छिनक
chink,छींक,चिंक,चींक,चिनक
chenkein,छींके,चेंकें,चेनकें,चेंकीं
chhekein,छींके,छेकें,छेकेन,छेकीं
chhinke,छींके,छिंके,छिनके,छींके
chhinky,छींके,छिंकी,छिनकी,छींकी
chinke,छींके,चिंके,चिनके,चींके
chhudaane,छुडाने,छुड़ाने,छुड़नने,छूड़ाने
chhudane,छुडाने,छुड़ाने,छुड़नने,छूड़ाने
chhupakar,छुपकर,छुपाकर,छुपककर,छुपरकर
chhupkar,छुपकर,छुपकर,छुपका,छूपकर
chhupkr,छुपकर,छुपकर,छुपक्,छूपकर
chhupata,छुपता,छुपता,छुपाा,छुपटा
chhupta,छुपता,छुपता,छुप्ा,छुपटा
chhuptaa,छुपता,छुपता,छुप्ा,छुपटा
chhura,छुरा,छुड़ा,छुऱा,छूड़ा
chhuraa,छुरा,छुरा,छुडा,छूरा
chhuree,छुरी,छुरी,छुडी,छुरे
chhuri,छुरी,छुरी,छुडी,छूरी
chhure,छुरे,छुरे,छुडे,छूरे
chhootane,छूटने,छूटने,छूटाे,छूतने
chhutane,छूटने,छुटाने,छुटनने,छूटाने
chhutne,छूटने,छुटने,छूटने,छुतने
chheter,छेत्र,छेटर,छेतर,छैटर
chhetr,छेत्र,छेत्र,छेट्र,छेतरर
chhetter,छेत्र,छेट्टर,छेटरटर,छैट्टर
chhetri,छेत्री,छेत्री,छेट्री,छित्री
